year,unit,section,bucks,does,fawns,total_harvest,total_hunters,pct_success,rec_days
2021,771,muzzleloader,0,0,0,0,13,0,46
2021,78,muzzleloader,49,0,0,49,108,45,552
2021,79,muzzleloader,6,0,0,6,12,50,52
2021,80,muzzleloader,37,0,0,37,111,33,482
2021,81,muzzleloader,23,0,0,23,75,31,297
2021,82,muzzleloader,15,0,0,15,51,29,198
2021,83,muzzleloader,5,0,0,5,5,100,5
2021,84,muzzleloader,5,7,0,12,48,25,205
2021,85,muzzleloader,13,0,0,13,33,39,166
2021,851,muzzleloader,2,0,0,2,6,33,18
2021,86,muzzleloader,3,2,0,5,55,9,222
2021,861,muzzleloader,0,0,0,0,10,0,70
2021,87,muzzleloader,0,0,0,0,11,0,19
2021,88,muzzleloader,1,0,0,1,18,6,50
2021,89,muzzleloader,8,2,0,10,16,63,37
2021,90,muzzleloader,0,0,0,0,2,0,2
2021,91,muzzleloader,5,4,2,11,42,26,187
2021,92,muzzleloader,2,4,0,6,35,17,100
2021,94,muzzleloader,4,3,3,10,21,48,78
2021,95,muzzleloader,4,0,0,4,24,17,77
2021,951,muzzleloader,4,8,3,15,24,63,85
2021,96,muzzleloader,2,15,0,17,60,28,200
2021,97,muzzleloader,8,0,0,8,12,67,44
2021,98,muzzleloader,0,2,0,2,18,11,62
2021,99,muzzleloader,10,5,0,15,44,34,120
2021,100,muzzleloader,8,2,0,10,20,50,74
2021,101,muzzleloader,4,0,0,4,20,20,68
2021,102,muzzleloader,19,3,2,24,54,44,159
2021,103,muzzleloader,11,4,6,21,48,44,155
2021,104,muzzleloader,22,2,0,24,42,57,148
2021,105,muzzleloader,6,9,0,15,29,52,105
2021,106,muzzleloader,9,2,0,11,11,100,49
2021,107,muzzleloader,8,3,0,11,32,34,101
2021,109,muzzleloader,9,6,0,15,41,37,176
2021,110,muzzleloader,16,9,0,25,46,54,111
2021,111,muzzleloader,10,2,0,12,17,71,36
2021,112,muzzleloader,3,0,0,3,8,38,25
2021,113,muzzleloader,0,0,0,0,5,0,23
2021,115,muzzleloader,3,0,0,3,5,60,8
2021,116,muzzleloader,4,0,0,4,14,29,52
2021,117,muzzleloader,2,0,0,2,6,33,10
2021,118,muzzleloader,10,0,0,10,18,56,76
2021,119,muzzleloader,3,3,0,6,13,46,41
2021,120,muzzleloader,0,0,0,0,5,0,8
2021,121,muzzleloader,6,3,0,9,19,47,60
2021,122,muzzleloader,10,3,2,15,26,58,105
2021,123,muzzleloader,11,2,0,13,25,52,86
2021,124,muzzleloader,3,0,0,3,11,27,24
2021,125,muzzleloader,2,0,0,2,17,12,23
2021,126,muzzleloader,0,0,0,0,28,0,115
2021,127,muzzleloader,0,8,0,8,17,47,80
2021,128,muzzleloader,0,3,0,3,15,20,61
2021,129,muzzleloader,0,3,0,3,7,43,8
2021,132,muzzleloader,3,5,0,8,8,100,22
2021,133,muzzleloader,0,0,0,0,4,0,7
2021,134,muzzleloader,2,2,0,4,6,67,20
2021,135,muzzleloader,0,2,2,4,10,40,54
2021,136,muzzleloader,0,0,0,0,3,0,13
2021,138,muzzleloader,0,0,0,0,2,0,9
2021,140,muzzleloader,9,0,0,9,15,60,65
2021,141,muzzleloader,0,0,0,0,2,0,10
2021,142,muzzleloader,8,4,4,16,21,76,78
2021,143,muzzleloader,2,2,0,4,9,44,30
2021,144,muzzleloader,5,6,0,11,29,38,101
2021,145,muzzleloader,0,0,0,0,5,0,24
2021,146,muzzleloader,0,2,0,2,15,13,59
2021,481,whitetail,0,0,0,0,11,0,30
2021,511,whitetail,0,0,0,0,11,0,61
2021,581,whitetail,0,0,0,0,11,0,30
2021,59,whitetail,0,0,0,0,33,0,160
2021,591,whitetail,6,6,0,12,74,16,477
2021,69,whitetail,6,14,3,23,52,44,455
2021,691,whitetail,0,0,0,0,6,0,11
2021,84,whitetail,6,17,0,23,138,17,702
2021,85,whitetail,8,3,0,11,47,23,474
2021,851,whitetail,6,3,0,9,30,30,141
2021,86,whitetail,0,6,0,6,17,35,138
2021,861,whitetail,0,0,0,0,3,0,6
2021,103,whitetail,0,0,0,0,17,0,87
2021,104,whitetail,12,7,9,28,62,45,224
2021,105,whitetail,14,9,0,23,122,19,537
2021,106,whitetail,0,7,0,7,28,25,87
2021,107,whitetail,23,29,3,55,175,31,530
2021,109,whitetail,29,18,3,50,232,22,1241
2021,110,whitetail,18,2,0,20,105,19,460
2021,111,whitetail,13,2,5,20,44,45,97
2021,112,whitetail,6,0,0,6,40,15,161
2021,113,whitetail,0,0,0,0,43,0,116
2021,114,whitetail,0,5,0,5,16,31,34
2021,115,whitetail,0,0,0,0,8,0,24
2021,116,whitetail,30,17,4,51,128,40,481
2021,117,whitetail,0,8,0,8,44,18,174
2021,118,whitetail,7,2,0,9,21,43,173
2021,119,whitetail,6,14,0,20,89,22,379
2021,120,whitetail,0,0,0,0,20,0,37
2021,121,whitetail,6,6,0,12,31,39,111
2021,122,whitetail,16,13,3,32,86,37,418
2021,123,whitetail,21,2,0,23,48,48,449
2021,124,whitetail,8,3,0,11,27,41,163
2021,125,whitetail,2,20,0,22,110,20,550
2021,126,whitetail,8,6,4,18,86,21,336
2021,127,whitetail,15,24,3,42,101,42,525
2021,128,whitetail,11,3,0,14,68,21,376
2021,129,whitetail,18,15,0,33,75,44,283
2021,130,whitetail,0,0,0,0,19,0,136
2021,132,whitetail,21,13,4,38,56,68,187
2021,133,whitetail,0,0,0,0,8,0,14
2021,135,whitetail,0,6,2,8,31,26,141
2021,136,whitetail,0,3,0,3,29,10,112
2021,137,whitetail,0,0,0,0,5,0,32
2021,138,whitetail,0,0,0,0,3,0,23
2021,139,whitetail,14,5,0,19,56,34,223
2021,141,whitetail,0,3,0,3,6,50,8
2021,143,whitetail,21,0,0,21,42,50,200
2021,144,whitetail,27,4,0,31,99,31,423
2021,145,whitetail,10,0,0,10,51,20,152
2021,146,whitetail,16,13,0,29,68,43,331
2021,147,whitetail,5,3,0,8,24,33,59
2021,104,whitetail,3,0,0,3,9,33,67
2021,105,whitetail,3,0,0,3,21,14,120
2021,106,whitetail,0,0,0,0,3,0,15
2021,107,whitetail,0,3,0,3,9,33,17
2021,109,whitetail,0,4,0,4,40,10,403
2021,110,whitetail,0,0,0,0,65,0,297
2021,111,whitetail,6,0,0,6,18,33,30
2021,112,whitetail,0,0,0,0,19,0,110
2021,113,whitetail,0,0,0,0,11,0,29
2021,116,whitetail,0,0,0,0,4,0,4
2021,117,whitetail,0,0,0,0,4,0,18
2021,118,whitetail,0,0,0,0,8,0,104
2021,119,whitetail,6,0,0,6,60,10,297
2021,120,whitetail,0,0,0,0,3,0,3
2021,121,whitetail,0,0,0,0,5,0,14
2021,122,whitetail,0,0,0,0,30,0,232
2021,123,whitetail,13,0,0,13,28,46,394
2021,124,whitetail,0,3,0,3,11,27,121
2021,125,whitetail,0,3,0,3,38,8,293
2021,126,whitetail,0,0,0,0,14,0,95
2021,127,whitetail,4,6,0,10,37,27,221
2021,128,whitetail,7,0,0,7,29,24,224
2021,129,whitetail,6,0,0,6,26,23,96
2021,130,whitetail,0,0,0,0,9,0,98
2021,132,whitetail,4,0,0,4,14,29,73
2021,133,whitetail,0,0,0,0,6,0,12
2021,134,whitetail,7,0,0,7,7,100,85
2021,135,whitetail,0,0,0,0,6,0,36
2021,136,whitetail,0,0,0,0,16,0,69
2021,139,whitetail,0,0,0,0,13,0,71
2021,144,whitetail,0,0,0,0,5,0,28
2021,145,whitetail,0,0,0,0,5,0,12
2021,146,whitetail,6,3,0,9,23,39,141
2021,147,whitetail,2,2,0,4,11,36,36
2021,105,whitetail,0,0,0,0,2,0,8
2021,107,whitetail,0,0,0,0,1,0,4
2021,109,whitetail,0,6,0,6,24,25,111
2021,110,whitetail,3,2,0,5,11,45,13
2021,111,whitetail,0,0,0,0,2,0,4
2021,118,whitetail,7,0,0,7,7,100,39
2021,119,whitetail,0,3,0,3,8,38,36
2021,122,whitetail,3,3,0,6,9,67,31
2021,123,whitetail,3,2,0,5,12,42,35
2021,124,whitetail,0,0,0,0,8,0,16
2021,125,whitetail,2,0,0,2,4,50,5
2021,126,whitetail,0,0,0,0,14,0,69
2021,127,whitetail,0,8,0,8,12,67,69
2021,128,whitetail,0,0,0,0,7,0,25
2021,129,whitetail,0,0,0,0,4,0,5
2021,132,whitetail,0,3,0,3,3,100,9
2021,133,whitetail,0,0,0,0,2,0,2
2021,134,whitetail,2,2,0,4,4,100,5
2021,135,whitetail,0,2,2,4,5,80,22
2021,139,whitetail,0,0,0,0,3,0,9
2021,143,whitetail,0,0,0,0,2,0,10
2021,144,whitetail,0,2,0,2,11,18,42
2021,145,whitetail,0,0,0,0,3,0,15
2021,146,whitetail,0,0,0,0,5,0,34
2021,481,whitetail,0,0,0,0,11,0,30
2021,511,whitetail,0,0,0,0,11,0,61
2021,581,whitetail,0,0,0,0,11,0,30
2021,59,whitetail,0,0,0,0,33,0,160
2021,591,whitetail,6,6,0,12,74,16,477
2021,69,whitetail,6,14,3,23,52,44,455
2021,691,whitetail,0,0,0,0,6,0,11
2021,84,whitetail,6,17,0,23,138,17,702
2021,85,whitetail,8,3,0,11,47,23,474
2021,851,whitetail,6,3,0,9,30,30,141
2021,86,whitetail,0,6,0,6,17,35,138
2021,861,whitetail,0,0,0,0,3,0,6
2021,104,whitetail,9,7,9,25,44,57,142
2021,105,whitetail,11,9,0,20,99,20,409
2021,106,whitetail,0,7,0,7,25,28,72
2021,107,whitetail,23,26,3,52,165,32,509
2021,109,whitetail,29,8,3,40,168,24,727
2021,110,whitetail,15,0,0,15,29,52,150
2021,111,whitetail,7,2,5,14,24,58,63
2021,112,whitetail,6,0,0,6,21,29,51
2021,113,whitetail,0,0,0,0,32,0,87
2021,114,whitetail,0,5,0,5,16,31,34
2021,115,whitetail,0,0,0,0,8,0,24
2021,116,whitetail,30,17,4,51,124,41,477
2021,117,whitetail,0,8,0,8,40,20,156
2021,118,whitetail,0,2,0,2,6,33,30
2021,119,whitetail,0,11,0,11,21,52,46
2021,120,whitetail,0,0,0,0,17,0,34
2021,121,whitetail,6,6,0,12,26,46,97
2021,122,whitetail,13,10,3,26,47,55,155
2021,123,whitetail,5,0,0,5,8,63,20
2021,124,whitetail,8,0,0,8,8,100,26
2021,125,whitetail,0,17,0,17,68,25,252
2021,126,whitetail,8,6,4,18,58,31,172
2021,127,whitetail,11,10,3,24,52,46,235
